published_at,final_text,final_text (tokenize),label
2025-05-06 08:09:03,quotdedi dinantiquot riuh negeri suara terbit bak cahaya hadir mimbar jelata langkah tegap tanah juang peluh harap kuasa nurani pedoman emas tahta kejar senyum wajah sabar raja sahabat teladan hutan sawah kampung sunyi sapa kasih letih dengar jerit sembunyi janji tumbuh hati simbol harap mati doadoa sederhana selip cahaya surga,"['quotdedi', 'dinantiquot', 'riuh', 'negeri', 'suara', 'terbit', 'bak', 'cahaya', 'hadir', 'mimbar', 'jelata', 'langkah', 'tegap', 'tanah', 'juang', 'peluh', 'harap', 'kuasa', 'nurani', 'pedoman', 'emas', 'tahta', 'kejar', 'senyum', 'wajah', 'sabar', 'raja', 'sahabat', 'teladan', 'hutan', 'sawah', 'kampung', 'sunyi', 'sapa', 'kasih', 'letih', 'dengar', 'jerit', 'sembunyi', 'janji', 'tumbuh', 'hati', 'simbol', 'harap', 'mati', 'doadoa', 'sederhana', 'selip', 'cahaya', 'surga']",1
2025-05-06 07:43:36,mantap sumatera,"['mantap', 'sumatera']",1
2025-05-06 00:43:43,,[],3
2025-05-06 00:42:57,tri kaji bagamana korupsi,"['tri', 'kaji', 'bagamana', 'korupsi']",2
2025-05-06 00:42:55,bos langkah tanggulang,"['bos', 'langkah', 'tanggulang']",2
2025-05-06 00:21:32,mntrinya takut takut hujat hhhh appun,"['mntrinya', 'takut', 'takut', 'hujat', 'hhhh', 'appun']",2
2025-05-05 23:47:50,gmna,['gmna'],1
2025-05-05 22:59:25,lampung bijak laku durhaka mama ampun bijak the best poko sukses,"['lampung', 'bijak', 'laku', 'durhaka', 'mama', 'ampun', 'bijak', 'the', 'best', 'poko', 'sukses']",1
2025-05-05 12:11:02,cirebon,['cirebon'],1
2025-05-05 12:08:48,cewek,['cewek'],2
2025-05-05 11:38:08,kasih guysapa nomor kontak kait daftar,"['kasih', 'guysapa', 'nomor', 'kontak', 'kait', 'daftar']",1
2025-05-05 10:18:36,kardus lapang memeberi bijak purwakarta upaya,"['kardus', 'lapang', 'memeberi', 'bijak', 'purwakarta', 'upaya']",1
2025-05-05 10:07:45,amerika serikat perintah,"['amerika', 'serikat', 'perintah']",2
2025-05-05 10:06:21,,[],3
2025-05-05 09:25:39,guru,['guru'],1
2025-05-05 08:54:19,laksana,['laksana'],1
2025-05-05 08:41:24,ahmat luffi temgah atur,"['ahmat', 'luffi', 'temgah', 'atur']",2
2025-05-05 06:53:22,kritik kasih bagus kritik kritik,"['kritik', 'kasih', 'bagus', 'kritik', 'kritik']",2
2025-05-05 06:20:45,,[],2
2025-05-05 05:14:48,komen basiberbuat becuspreeetdeuh,"['komen', 'basiberbuat', 'becuspreeetdeuh']",1
2025-05-05 05:11:25,,[],1
2025-05-05 05:09:06,kedisplinan bangun pagi sholat olahraga pembelajaaran kedisiplinanyg ketingalan mata,"['kedisplinan', 'bangun', 'pagi', 'sholat', 'olahraga', 'pembelajaaran', 'kedisiplinanyg', 'ketingalan', 'mata']",1
2025-05-05 04:34:09,konsumsi obat beli warung samar toko kosmetik jual pulsa jual obat peran,"['konsumsi', 'obat', 'beli', 'warung', 'samar', 'toko', 'kosmetik', 'jual', 'pulsa', 'jual', 'obat', 'peran']",2
2025-05-05 04:14:04,akibat hukum negeri tegasakhirnya takut hukum,"['akibat', 'hukum', 'negeri', 'tegasakhirnya', 'takut', 'hukum']",2
2025-05-05 03:41:22,kaji libur hotel dpet tunjang rapat pendidikanny dik aspek hidup,"['kaji', 'libur', 'hotel', 'dpet', 'tunjang', 'rapat', 'pendidikanny', 'dik', 'aspek', 'hidup']",2
2025-05-05 03:27:41,orng begal nyabu tertawa,"['orng', 'begal', 'nyabu', 'tertawa']",3
2025-05-05 03:06:34,matap panglima progam mulyadisemoga laku baratmaju,"['matap', 'panglima', 'progam', 'mulyadisemoga', 'laku', 'baratmaju']",1
2025-05-05 02:13:07,kasih ngelem orng lainlain,"['kasih', 'ngelem', 'orng', 'lainlain']",2
2025-05-05 01:37:21,bentuk taruna nusantara semi keren smpa bahula apalh pancasila butir baris bar pagi keren why not do it korea thailand singapura selesai keren,"['bentuk', 'taruna', 'nusantara', 'semi', 'keren', 'smpa', 'bahula', 'apalh', 'pancasila', 'butir', 'baris', 'bar', 'pagi', 'keren', 'why', 'not', 'do', 'it', 'korea', 'thailand', 'singapura', 'selesai', 'keren']",1
2025-05-05 01:20:58,smoga mudah niat,"['smoga', 'mudah', 'niat']",1
2025-05-05 01:07:18,militerdi pondok pesantren pribadi baiksaya miliet,"['militerdi', 'pondok', 'pesantren', 'pribadi', 'baiksaya', 'miliet']",3
2025-05-04 23:33:45,keren,['keren'],1
2025-05-04 23:28:22,,[],2
2025-05-04 23:25:42,konsep terima beres kaji terima beres,"['konsep', 'terima', 'beres', 'kaji', 'terima', 'beres']",1
2025-05-04 23:23:34,debat aksi,"['debat', 'aksi']",2
2025-05-04 22:20:56,cikal mudah,"['cikal', 'mudah']",1
2025-05-04 18:12:45,terap,['terap'],1
2025-05-04 17:22:12,tunggu kaji selesai,"['tunggu', 'kaji', 'selesai']",2
2025-05-04 17:13:56,lelah atur lupa proses zaman bentuk,"['lelah', 'atur', 'lupa', 'proses', 'zaman', 'bentuk']",2
2025-05-04 16:43:10,tri berani takut kena bully study tour,"['tri', 'berani', 'takut', 'kena', 'bully', 'study', 'tour']",2
2025-05-04 16:04:24,bubar gaji buta bubar,"['bubar', 'gaji', 'buta', 'bubar']",2
2025-05-04 16:01:42,cina korea beberpa malas malas jemput,"['cina', 'korea', 'beberpa', 'malas', 'malas', 'jemput']",2
2025-05-04 16:00:56,terap nasionala,"['terap', 'nasionala']",1
2025-05-04 15:13:04,orangtuanya nggk sanggup ngedidik hindar gaul negatif,"['orangtuanya', 'nggk', 'sanggup', 'ngedidik', 'hindar', 'gaul', 'negatif']",1
2025-05-04 15:08:50,perna ngikuti giat bela hebat,"['perna', 'ngikuti', 'giat', 'bela', 'hebat']",1
2025-05-04 13:58:46,bagus usul pondok pesantren libat akhlak bentuk,"['bagus', 'usul', 'pondok', 'pesantren', 'libat', 'akhlak', 'bentuk']",1
2025-05-04 12:15:35,auto tobat depok sepi minat,"['auto', 'tobat', 'depok', 'sepi', 'minat']",1
2025-05-04 11:49:41,mantap,['mantap'],1
2025-05-04 11:23:43,kaji kaji buang buang bubar entis luuu,"['kaji', 'kaji', 'buang', 'buang', 'bubar', 'entis', 'luuu']",2
2025-05-04 11:22:20,quotindonesia emas baratquot keren salam hangat,"['quotindonesia', 'emas', 'baratquot', 'keren', 'salam', 'hangat']",1
2025-05-04 09:41:41,bang satriawan salim tau bagus realisasi kritik realisasi plis,"['bang', 'satriawan', 'salim', 'tau', 'bagus', 'realisasi', 'kritik', 'realisasi', 'plis']",2
2025-05-04 09:38:37,kritik realisasi,"['kritik', 'realisasi']",2
2025-05-04 09:36:43,calon calon tenaga juang negeri dasar cinta tanah air cinta cinta yh cinta cinta,"['calon', 'calon', 'tenaga', 'juang', 'negeri', 'dasar', 'cinta', 'tanah', 'air', 'cinta', 'cinta', 'yh', 'cinta', 'cinta']",1
2025-05-04 09:33:56,latih cinta kuat jujur nyanyi lagu raya hati getar menang sadar keren korsa,"['latih', 'cinta', 'kuat', 'jujur', 'nyanyi', 'lagu', 'raya', 'hati', 'getar', 'menang', 'sadar', 'keren', 'korsa']",1
2025-05-04 09:30:10,terap,['terap'],1
2025-05-04 09:28:23,harga krisis,"['harga', 'krisis']",1
2025-05-04 09:08:08,anggap picu semangat mantik cita cita bunuh,"['anggap', 'picu', 'semangat', 'mantik', 'cita', 'cita', 'bunuh']",1
2025-05-04 09:02:03,selesai,['selesai'],2
2025-05-04 08:51:39,takut habis,"['takut', 'habis']",2
2025-05-04 08:29:05,utama,['utama'],2
2025-05-04 07:40:22,,[],1
2025-05-04 07:35:20,kaji melulu rapat hotel mewah lambat kajikajian,"['kaji', 'melulu', 'rapat', 'hotel', 'mewah', 'lambat', 'kajikajian']",2
2025-05-04 05:12:01,provinsi batur maheweh,"['provinsi', 'batur', 'maheweh']",2
2025-05-04 05:09:55,jujur iri rekomendasi laksana ayo,"['jujur', 'iri', 'rekomendasi', 'laksana', 'ayo']",1
2025-05-04 04:25:45,ribet ribet intimidasi habis pusing,"['ribet', 'ribet', 'intimidasi', 'habis', 'pusing']",2
2025-05-04 04:01:15,koordinasi,['koordinasi'],2
2025-05-04 03:53:38,prabowo terap,"['prabowo', 'terap']",1
2025-05-04 03:49:39,ormg sruh atur cowok lemah gemulay,"['ormg', 'sruh', 'atur', 'cowok', 'lemah', 'gemulay']",1
2025-05-04 03:32:08,paham cermat maksud erti siplin maksud gemleng latih perang paham jugak sukak bangkong bangun siang sukak main hp inget pasri,"['paham', 'cermat', 'maksud', 'erti', 'siplin', 'maksud', 'gemleng', 'latih', 'perang', 'paham', 'jugak', 'sukak', 'bangkong', 'bangun', 'siang', 'sukak', 'main', 'hp', 'inget', 'pasri']",1
2025-05-04 03:10:18,gila,['gila'],1
2025-05-04 02:47:14,tunggu kaji laksana jealous pinter kritik,"['tunggu', 'kaji', 'laksana', 'jealous', 'pinter', 'kritik']",2
2025-05-04 02:06:20,bagus mndidik,"['bagus', 'mndidik']",1
2025-05-04 01:03:43,duduk nerim bangun proyek fulus,"['duduk', 'nerim', 'bangun', 'proyek', 'fulus']",2
2025-05-03 23:18:39,butuh kaji laku preman bacok bunuh,"['butuh', 'kaji', 'laku', 'preman', 'bacok', 'bunuh']",2
2025-05-03 22:30:09,,[],1
2025-05-03 22:28:55,,[],1
2025-05-03 17:31:47,dengar maju,"['dengar', 'maju']",1
2025-05-03 15:49:20,kaji kaji sat set beres kal kritik kal bahasa,"['kaji', 'kaji', 'sat', 'set', 'beres', 'kal', 'kritik', 'kal', 'bahasa']",2
2025-05-03 14:50:36,maju,['maju'],2
2025-05-03 13:40:34,kalimantan,['kalimantan'],2
2025-05-03 13:03:31,gerbang maju iring asuh pengembala tlah ramal leluhur nusantarayg tunggu orangsubhanaloh,"['gerbang', 'maju', 'iring', 'asuh', 'pengembala', 'tlah', 'ramal', 'leluhur', 'nusantarayg', 'tunggu', 'orangsubhanaloh']",1
2025-05-03 12:54:20,,[],1
2025-05-03 12:41:03,bos gambil,"['bos', 'gambil']",1
2025-05-03 11:19:15,aza suka,"['aza', 'suka']",2
2025-05-03 11:13:00,kontrak hukum,"['kontrak', 'hukum']",2
2025-05-03 09:01:35,tangerang,['tangerang'],1
2025-05-03 08:56:40,,[],2
2025-05-03 08:22:40,negatif sarat teorinyatanya baiksemoga,"['negatif', 'sarat', 'teorinyatanya', 'baiksemoga']",1
2025-05-03 07:45:26,mantab,['mantab'],1
2025-05-03 06:54:05,hahaha dengar suara sumbang telinga dengung hebat lahir onggok batu usang lupa sengaja lupa suara jerit kumandang dentum badai keputusasaan tingkah lagu sang hadir ulur tangan upaya sang angkat beban berat pundak ulur tangan lempar kotor busuk hah komentator bayar mahal kosong ulur tangan,"['hahaha', 'dengar', 'suara', 'sumbang', 'telinga', 'dengung', 'hebat', 'lahir', 'onggok', 'batu', 'usang', 'lupa', 'sengaja', 'lupa', 'suara', 'jerit', 'kumandang', 'dentum', 'badai', 'keputusasaan', 'tingkah', 'lagu', 'sang', 'hadir', 'ulur', 'tangan', 'upaya', 'sang', 'angkat', 'beban', 'berat', 'pundak', 'ulur', 'tangan', 'lempar', 'kotor', 'busuk', 'hah', 'komentator', 'bayar', 'mahal', 'kosong', 'ulur', 'tangan']",1
2025-05-03 06:51:43,bagus gede ngedidik dibiarin nurut salah oetantang oetenteng gni,"['bagus', 'gede', 'ngedidik', 'dibiarin', 'nurut', 'salah', 'oetantang', 'oetenteng', 'gni']",1
2025-05-03 06:39:13,perspektif bagus terap provinsi,"['perspektif', 'bagus', 'terap', 'provinsi']",1
2025-05-03 06:33:12,tunggu kaji kembyakan,"['tunggu', 'kaji', 'kembyakan']",2
2025-05-03 06:23:34,perintah dinas mesti asih ampuh garis bentuk suka lawan malas mabukmabukan tindak kriminal curi tekan kota gawat tangan cepat sekian salah temanteman salah mohon salam terima kasih,"['perintah', 'dinas', 'mesti', 'asih', 'ampuh', 'garis', 'bentuk', 'suka', 'lawan', 'malas', 'mabukmabukan', 'tindak', 'kriminal', 'curi', 'tekan', 'kota', 'gawat', 'tangan', 'cepat', 'sekian', 'salah', 'temanteman', 'salah', 'mohon', 'salam', 'terima', 'kasih']",1
2025-05-03 06:08:36,komen kontra menit,"['komen', 'kontra', 'menit']",2
2025-05-03 06:05:44,kontra puja parenting parentingan hrefuckszuwhgymbdvujgksifylzfolmakanydqaga,"['kontra', 'puja', 'parenting', 'parentingan', 'hrefuckszuwhgymbdvujgksifylzfolmakanydqaga']",1
2025-05-03 06:02:18,bagussbiar gampang,"['bagussbiar', 'gampang']",1
2025-05-03 05:55:26,sasar cowok sikap perempuan kodrat,"['sasar', 'cowok', 'sikap', 'perempuan', 'kodrat']",1
2025-05-03 05:46:39,semoha korban,"['semoha', 'korban']",1
2025-05-03 05:31:57,sesat perintah provinsi paksa pasu channel byang anakb hadap panggung politik,"['sesat', 'perintah', 'provinsi', 'paksa', 'pasu', 'channel', 'byang', 'anakb', 'hadap', 'panggung', 'politik']",1
2025-05-03 05:15:59,preman jahat hancur negeri,"['preman', 'jahat', 'hancur', 'negeri']",1
2025-05-03 05:08:13,bagus susah susah nasihat sangt,"['bagus', 'susah', 'susah', 'nasihat', 'sangt']",1
2025-05-03 04:46:03,dpn sendiriorg dpn,"['dpn', 'sendiriorg', 'dpn']",1
2025-05-03 04:16:40,,[],2
2025-05-03 04:13:51,broma romo roma romo kristen video porno papa mamah ragu bacok orng curi mobil motor beli jajananpendidikan kasih sakit maju kurikulum balance life and work drama kasih kristen bangga hilang perawan prom night cinta kasih utama ikutinb bjaman guru lapor gampar ayah guru mukul dikit kriminalisasi kristen terbendungb bgak heran pesantren laku keras atur nabi saw laku rusak fisik pesantren adab ketemu guru rt cium tangan bandingin skrb kuriukulum ngerusak,"['broma', 'romo', 'roma', 'romo', 'kristen', 'video', 'porno', 'papa', 'mamah', 'ragu', 'bacok', 'orng', 'curi', 'mobil', 'motor', 'beli', 'jajananpendidikan', 'kasih', 'sakit', 'maju', 'kurikulum', 'balance', 'life', 'and', 'work', 'drama', 'kasih', 'kristen', 'bangga', 'hilang', 'perawan', 'prom', 'night', 'cinta', 'kasih', 'utama', 'ikutinb', 'bjaman', 'guru', 'lapor', 'gampar', 'ayah', 'guru', 'mukul', 'dikit', 'kriminalisasi', 'kristen', 'terbendungb', 'bgak', 'heran', 'pesantren', 'laku', 'keras', 'atur', 'nabi', 'saw', 'laku', 'rusak', 'fisik', 'pesantren', 'adab', 'ketemu', 'guru', 'rt', 'cium', 'tangan', 'bandingin', 'skrb', 'kuriukulum', 'ngerusak']",1
2025-05-03 04:08:09,zaman brobarak soa kekerasanhnya,"['zaman', 'brobarak', 'soa', 'kekerasanhnya']",1
2025-05-03 04:05:06,kaji sglacapek klamaanikutin mulyadiga sengsara ikutin,"['kaji', 'sglacapek', 'klamaanikutin', 'mulyadiga', 'sengsara', 'ikutin']",1
2025-05-03 04:03:12,bgitu tuk sluruh nakalini jenius mulyadijjka berkurangdgn sluruh tkut nakalini jeniusgasss,"['bgitu', 'tuk', 'sluruh', 'nakalini', 'jenius', 'mulyadijjka', 'berkurangdgn', 'sluruh', 'tkut', 'nakalini', 'jeniusgasss']",1
2025-05-03 03:28:46,dengar mulut kosong bijak pindah banten,"['dengar', 'mulut', 'kosong', 'bijak', 'pindah', 'banten']",1
2025-05-03 02:27:12,ajah,['ajah'],1
2025-05-03 02:25:42,mudah mudah mudah provinsi provinsi,"['mudah', 'mudah', 'mudah', 'provinsi', 'provinsi']",1
2025-05-03 02:24:04,gebrak keren,"['gebrak', 'keren']",1
2025-05-03 02:23:45,ki hadjar dewantara versi zaman zaman z berbedakebanyakan gen z cenderung manja serba manja teknologi haus dik dik guru main keras main lapor polisi cubit lapor lepak kepala laporbukan guru takut murit guru takut muritnya gen z,"['ki', 'hadjar', 'dewantara', 'versi', 'zaman', 'zaman', 'z', 'berbedakebanyakan', 'gen', 'z', 'cenderung', 'manja', 'serba', 'manja', 'teknologi', 'haus', 'dik', 'dik', 'guru', 'main', 'keras', 'main', 'lapor', 'polisi', 'cubit', 'lapor', 'lepak', 'kepala', 'laporbukan', 'guru', 'takut', 'murit', 'guru', 'takut', 'muritnya', 'gen', 'z']",1
2025-05-03 02:09:04,bagus kuat unggul minat,"['bagus', 'kuat', 'unggul', 'minat']",1
2025-05-03 01:59:45,lupa arah selesai,"['lupa', 'arah', 'selesai']",1
2025-05-03 01:56:50,semangat,['semangat'],2
2025-05-03 01:54:48,keren broo terbaikk,"['keren', 'broo', 'terbaikk']",1
2025-05-03 01:25:06,salah ikhtiar mendidikmereka serah harap perbaikaningat,"['salah', 'ikhtiar', 'mendidikmereka', 'serah', 'harap', 'perbaikaningat']",1
2025-05-03 00:24:32,nasib jati bangun tidur adab etika indah kes musuh sahabat lawan sahabat narkotika geng motor arah tindak komnas ham resiko butuh yes kenang sukses,"['nasib', 'jati', 'bangun', 'tidur', 'adab', 'etika', 'indah', 'kes', 'musuh', 'sahabat', 'lawan', 'sahabat', 'narkotika', 'geng', 'motor', 'arah', 'tindak', 'komnas', 'ham', 'resiko', 'butuh', 'yes', 'kenang', 'sukses']",1
2025-05-03 00:18:05,perihatin tutup mata,"['perihatin', 'tutup', 'mata']",1
2025-05-03 00:17:10,main mobile legends sumpah,"['main', 'mobile', 'legends', 'sumpah']",2
2025-05-02 22:57:53,bunuh sewenangwenang,"['bunuh', 'sewenangwenang']",3
2025-05-02 22:22:40,oke,['oke'],2
2025-05-02 18:46:34,tiru daerahaamiin,"['tiru', 'daerahaamiin']",1
2025-05-02 18:33:35,,[],1
2025-05-02 16:07:59,joss bagus hebat,"['joss', 'bagus', 'hebat']",1
2025-05-02 15:53:11,tunggu rapa rapat,"['tunggu', 'rapa', 'rapat']",2
2025-05-02 15:29:14,bebenah ngabrettt kendali,"['bebenah', 'ngabrettt', 'kendali']",1
2025-05-02 14:30:29,kaji tri dprini wkwkwkkwkw celah gelap wkwkwkwkwk,"['kaji', 'tri', 'dprini', 'wkwkwkkwkw', 'celah', 'gelap', 'wkwkwkwkwk']",2
2025-05-02 14:23:57,apaun,['apaun'],1
2025-05-02 14:11:10,quotmiliterquot powerfull situ insap arogan sebal,"['quotmiliterquot', 'powerfull', 'situ', 'insap', 'arogan', 'sebal']",3
2025-05-02 13:59:18,bunuh pembullyan ditutupin,"['bunuh', 'pembullyan', 'ditutupin']",2
2025-05-02 13:56:29,gaya soviet perang dingin gaya komunis saran gaul china otoriter,"['gaya', 'soviet', 'perang', 'dingin', 'gaya', 'komunis', 'saran', 'gaul', 'china', 'otoriter']",3
2025-05-02 13:43:41,mantap,['mantap'],1
2025-05-02 13:15:39,kebutuhanya keluarin biaya hidup lumayan,"['kebutuhanya', 'keluarin', 'biaya', 'hidup', 'lumayan']",1
2025-05-02 13:06:48,purwakarta malam motor balap sepi alhandulilah,"['purwakarta', 'malam', 'motor', 'balap', 'sepi', 'alhandulilah']",2
2025-05-02 13:01:15,keras bentuk baikbukan lemah sangatt setujuu,"['keras', 'bentuk', 'baikbukan', 'lemah', 'sangatt', 'setujuu']",1
2025-05-02 12:50:28,mlh enak butuh biaya loahh ngedabrussaq mlh ngikutin lutpi,"['mlh', 'enak', 'butuh', 'biaya', 'loahh', 'ngedabrussaq', 'mlh', 'ngikutin', 'lutpi']",1
2025-05-02 12:49:21,singkat level kategori kriminal,"['singkat', 'level', 'kategori', 'kriminal']",2
2025-05-02 12:47:54,hapus senioritas,"['hapus', 'senioritas']",2
2025-05-02 12:47:45,keren bnaget tiru,"['keren', 'bnaget', 'tiru']",1
2025-05-02 12:46:06,abdul muti nomor komen afk tuolol mundur hasan nasbi,"['abdul', 'muti', 'nomor', 'komen', 'afk', 'tuolol', 'mundur', 'hasan', 'nasbi']",2
2025-05-02 12:44:52,kaji rapat sepatu,"['kaji', 'rapat', 'sepatu']",2
2025-05-02 12:42:03,santai suruh cinta papua,"['santai', 'suruh', 'cinta', 'papua']",2
2025-05-02 12:35:44,suruh tri geng motor suruh siksa duduk ber ac meja,"['suruh', 'tri', 'geng', 'motor', 'suruh', 'siksa', 'duduk', 'ber', 'ac', 'meja']",2
2025-05-02 12:26:34,batal ibadi ahmad tolak korban mati jenazah ibadi terima perang,"['batal', 'ibadi', 'ahmad', 'tolak', 'korban', 'mati', 'jenazah', 'ibadi', 'terima', 'perang']",2
2025-05-02 12:23:44,mantap,['mantap'],3
2025-05-02 12:14:09,ngadukung,['ngadukung'],1
2025-05-02 12:10:25,kasih darioada pondok,"['kasih', 'darioada', 'pondok']",1
2025-05-02 12:08:14,,[],2
2025-05-02 12:02:26,informasi positif maju jurus kebejadan akhlak martabat inisiatif bijak perintah siswi pundak cinta maju siswi aceh papua bangga,"['informasi', 'positif', 'maju', 'jurus', 'kebejadan', 'akhlak', 'martabat', 'inisiatif', 'bijak', 'perintah', 'siswi', 'pundak', 'cinta', 'maju', 'siswi', 'aceh', 'papua', 'bangga']",1
2025-05-02 11:46:32,cepat,['cepat'],1
2025-05-02 11:46:23,rokok okok v,"['rokok', 'okok', 'v']",3
2025-05-02 11:46:04,asli keren,"['asli', 'keren']",2
2025-05-02 11:35:52,mantap keren,"['mantap', 'keren']",1
2025-05-02 11:31:50,didikkarena anaknyakl lantas tangan bagus keritik aneh maju zaman negeri kitasekarang negeri,"['didikkarena', 'anaknyakl', 'lantas', 'tangan', 'bagus', 'keritik', 'aneh', 'maju', 'zaman', 'negeri', 'kitasekarang', 'negeri']",1
2025-05-02 11:25:33,lufti janga campur bijak gubnur,"['lufti', 'janga', 'campur', 'bijak', 'gubnur']",2
2025-05-02 11:25:31,orgtua rela serah repot,"['orgtua', 'rela', 'serah', 'repot']",1
2025-05-02 11:17:55,preman debat,"['preman', 'debat']",1
2025-05-02 11:17:36,bagus beban,"['bagus', 'beban']",1
2025-05-02 11:16:22,nolak koplakjangan aksi kgkliat bengal parahmau kajianrapat kordinasibilang rapat tambahantl,"['nolak', 'koplakjangan', 'aksi', 'kgkliat', 'bengal', 'parahmau', 'kajianrapat', 'kordinasibilang', 'rapat', 'tambahantl']",1
2025-05-02 11:04:35,minggu serasa bagus,"['minggu', 'serasa', 'bagus']",1
2025-05-02 10:46:14,ajarin tan kebun nelayan kelak pandai bonus demografi sulit takut saing tan agraris maritim,"['ajarin', 'tan', 'kebun', 'nelayan', 'kelak', 'pandai', 'bonus', 'demografi', 'sulit', 'takut', 'saing', 'tan', 'agraris', 'maritim']",1
2025-05-02 10:42:57,emas,['emas'],1
2025-05-02 10:39:06,hukum benarbyk undang buattapi laksana adadedi nyakerja fakta,"['hukum', 'benarbyk', 'undang', 'buattapi', 'laksana', 'adadedi', 'nyakerja', 'fakta']",1
2025-05-02 10:34:35,satriawan mang ngarti apain ajak yet bua ajak perang dasar on,"['satriawan', 'mang', 'ngarti', 'apain', 'ajak', 'yet', 'bua', 'ajak', 'perang', 'dasar', 'on']",1
2025-05-02 10:33:38,judul dinas dinas dinas sosial perhati aman lepas,"['judul', 'dinas', 'dinas', 'dinas', 'sosial', 'perhati', 'aman', 'lepas']",1
2025-05-02 10:32:48,mantapsetuju,['mantapsetuju'],1
2025-05-02 10:32:20,denegrin ngomongpan maugimana kacau dengar yet jagan,"['denegrin', 'ngomongpan', 'maugimana', 'kacau', 'dengar', 'yet', 'jagan']",1
2025-05-02 10:24:27,madam api apitapi air,"['madam', 'api', 'apitapi', 'air']",2
2025-05-02 10:20:27,mantap singa salam banten,"['mantap', 'singa', 'salam', 'banten']",1
2025-05-02 10:20:26,tri taringnyamantap,"['tri', 'taringnyamantap']",1
2025-05-02 10:18:44,harap provinsi mulyadimembawa polri,"['harap', 'provinsi', 'mulyadimembawa', 'polri']",1
2025-05-02 10:17:21,satriawan maluin,"['satriawan', 'maluin']",2
2025-05-02 10:11:24,kritik arah suka benci bijak harga prosea,"['kritik', 'arah', 'suka', 'benci', 'bijak', 'harga', 'prosea']",2
2025-05-02 10:11:00,mntp pulang pulang badan otot,"['mntp', 'pulang', 'pulang', 'badan', 'otot']",1
2025-05-02 10:09:56,kasih tolak ledek,"['kasih', 'tolak', 'ledek']",1
