published_at,comment_text,label,cleaned_text,normalized_comment,cleaned_text2,no_stopwords,stemmed_text,no_stopwords2,tokenize_text
2025-05-07 06:17:28,"Lanjutkan pak dedi mulyadi,. Program bapak adalah versi gratisnya dari SMA/SMK taruna nusantara yg mahal itu..",1,lanjutkan pak dedi mulyadi program bapak adalah versi gratisnya dari smasmk taruna nusantara yg mahal itu,lanjutkan pak dedi mulyadi program bapak adalah versi gratisnya dari sekolah menengah atas atau sekolah menengah kejuruan taruna nusantara yang mahal itu,lanjutkan pak dedi mulyadi program bapak adalah versi gratisnya dari sekolah menengah atas atau sekolah menengah kejuruan taruna nusantara yang mahal itu,lanjutkan versi gratisnya sekolah menengah sekolah menengah kejuruan taruna nusantara mahal,lanjut versi gratis sekolah tengah sekolah tengah juru taruna nusantara mahal,versi gratis juru taruna nusantara mahal,"['versi', 'gratis', 'juru', 'taruna', 'nusantara', 'mahal']"
2025-05-07 03:24:10,"Awal program nya masih oke, tapi ujung&quot; nya nanti sama kyk kegagalan sekolah aja nanti ada juga pembulian, senioritas, kasus kekerasan, atau pelecehan oleh pembina dan sebagai nya  Mau siapa yang kontrol? semua pasti serba tertutup klo di militer  Potensi untuk pendidikan karakter bagus, klo dikelola dengan bener",2,awal program nya masih oke tapi ujungquot nya nanti sama kyk kegagalan sekolah aja nanti ada juga pembulian senioritas kasus kekerasan atau pelecehan oleh pembina dan sebagai nya mau siapa yang kontrol semua pasti serba tertutup klo di militer potensi untuk pendidikan karakter bagus klo dikelola dengan bener,awal program nya masih oke tapi ujungquot nya nanti sama seperti kegagalan sekolah saja nanti ada juga pembulian senioritas kasus kekerasan atau pelecehan oleh pembina dan sebagai nya mau siapa yang kontrol semua pasti serba tertutup kalau di militer potensi untuk pendidikan karakter bagus kalau dikelola dengan benar,awal program nya masih oke tapi ujungquot nya nanti sama seperti kegagalan sekolah saja nanti ada juga pembulian senioritas kasus kekerasan atau pelecehan oleh pembina dan sebagai nya mau siapa yang kontrol semua pasti serba tertutup kalau di militer potensi untuk pendidikan karakter bagus kalau dikelola dengan benar,oke ujungquot kegagalan sekolah pembulian senioritas kekerasan pelecehan pembina kontrol serba tertutup potensi pendidikan karakter bagus dikelola,oke ujungquot gagal sekolah bulian senioritas keras leceh bina kontrol serba tutup potensi didik karakter bagus kelola,oke ujungquot gagal bulian senioritas keras leceh kontrol serba tutup potensi bagus kelola,"['oke', 'ujungquot', 'gagal', 'bulian', 'senioritas', 'keras', 'leceh', 'kontrol', 'serba', 'tutup', 'potensi', 'bagus', 'kelola']"
2025-05-07 02:35:59,"Aduuh di lampung belum ada yah, oadahal banyak bgt ni bocah2 sd gak pada ngaji udh gaulnya sma yg dewasa oada kebawa nakal ampun tolong ampun paralun",1,aduuh di lampung belum ada yah oadahal banyak bgt ni bocah sd gak pada ngaji udh gaulnya sma yg dewasa oada kebawa nakal ampun tolong ampun paralun,aduuh di lampung belum ada yah oadahal banyak bnaget ini bocah sd tidak pada ngaji sudah gaulnya sama yang dewasa oada kebawa nakal ampun tolong ampun paralun,aduuh di lampung belum ada yah oadahal banyak bnaget ini bocah sd tidak pada ngaji sudah gaulnya sama yang dewasa oada kebawa nakal ampun tolong ampun paralun,aduuh lampung yah oadahal bnaget bocah sd ngaji gaulnya dewasa oada kebawa ampun ampun,aduuh lampung yah oadahal bnaget bocah sd ngaji gaul dewasa oada bawa ampun ampun,aduuh lampung yah oadahal bnaget bocah sd ngaji gaul dewasa oada ampun ampun,"['aduuh', 'lampung', 'yah', 'oadahal', 'bnaget', 'bocah', 'sd', 'ngaji', 'gaul', 'dewasa', 'oada', 'ampun', 'ampun']"
2025-05-06 23:28:26,"Intinya anak di bawah umur yang melakukan tindak kriminal harus diberi efek jera, jgn dibiarin alasan di bawah umur❤",2,intinya anak di bawah umur yang melakukan tindak kriminal harus diberi efek jera jgn dibiarin alasan di bawah umur,intinya anak di bawah umur yang melakukan tindakan kriminal harus diberi efek jera jangan dibiarin alasan di bawah umur,intinya anak di bawah umur yang melakukan tindakan kriminal harus diberi efek jera jangan dibiarin alasan di bawah umur,intinya umur tindakan kriminal efek jera dibiarin alasan umur,inti umur tindak kriminal efek jera dibiarin alas umur,inti umur tindak kriminal efek jera dibiarin alas umur,"['inti', 'umur', 'tindak', 'kriminal', 'efek', 'jera', 'dibiarin', 'alas', 'umur']"
2025-05-06 11:41:05,"Mana bentuk solusi jangka panjang tersebut, jangan hanya wacana dimulut saja.. maju terus dedi mulyadi",1,mana bentuk solusi jangka panjang tersebut jangan hanya wacana dimulut saja maju terus dedi mulyadi,mana bentuk solusi jangka panjang tersebut jangan hanya wacana dimulut saja maju terus dedi mulyadi,mana bentuk solusi jangka panjang tersebut jangan hanya wacana dimulut saja maju terus dedi mulyadi,bentuk solusi jangka wacana dimulut maju,bentuk solusi jangka wacana mulut maju,bentuk jangka wacana mulut maju,"['bentuk', 'jangka', 'wacana', 'mulut', 'maju']"
2025-05-06 10:45:00,"Keren ,bravoo 👍👍",2,keren bravoo,keren bravoo,keren bravoo,keren bravoo,keren bravoo,keren bravoo,"['keren', 'bravoo']"
2025-05-06 09:37:40,Pejabat yg tdk setuju kebijakan dedi mulyadi . Telusuri kinerjanya selama menjabat,2,pejabat yg tdk setuju kebijakan dedi mulyadi telusuri kinerjanya selama menjabat,pejabat yang tidak setuju kebijakan dedi mulyadi telusuri kinerjanya selama menjabat,pejabat yang tidak setuju kebijakan dedi mulyadi telusuri kinerjanya selama menjabat,pejabat setuju kebijakan telusuri kinerjanya menjabat,jabat tuju bijak telusur kerja jabat,bijak telusur,"['bijak', 'telusur']"
2025-05-06 08:34:07,"Mantap lanjut kang dedi mulyadu ndak usah dengarkan suara2 sumbang, kl mau dikaji2 terus kapan jalannya?",1,mantap lanjut kang dedi mulyadu ndak usah dengarkan suara sumbang kl mau dikaji terus kapan jalannya,mantap lanjut kang dedi mulyadi tidak perlu dengarkan suara sumbang kalau mau dikaji terus kapan jalannya,mantap lanjut kang dedi mulyadi tidak perlu dengarkan suara sumbang kalau mau dikaji terus kapan jalannya,mantap dengarkan suara sumbang dikaji jalannya,mantap dengar suara sumbang kaji jalan,mantap dengar suara sumbang kaji,"['mantap', 'dengar', 'suara', 'sumbang', 'kaji']"
2025-05-06 08:09:03,"&quot;Dedi Mulyadi, Pemimpin yang Dinanti&quot;  Di tengah riuh negeri yang bersuara, Nama Dedi Mulyadi terbit bak cahaya. Tak sekadar hadir di mimbar kata, Ia berjalan bersama rakyat jelata.  Langkahnya tegap di tanah perjuangan, Menyatu dengan peluh dan harapan. Tak hanya bicara soal kekuasaan, Tapi bagaimana nurani jadi pedoman.  Bukan emas, bukan tahta yang ia kejar, Melainkan senyum di wajah rakyat yang sabar. Ia datang bukan sebagai raja, Tapi sahabat, pelindung, dan teladan bangsa.  Hutan, sawah, dan kampung yang sunyi, Disapanya dengan kasih, tak pernah letih. Ia dengar jerit mereka yang tersembunyi, Dan jawab dengan kerja, bukan janji.  Dedi Mulyadi, nama yang tumbuh di hati, Menjadi simbol harapan yang tak mati. Dalam doa-doa rakyat yang sederhana, Namamu terselip, seperti cahaya surga.",1,quotdedi mulyadi pemimpin yang dinantiquot di tengah riuh negeri yang bersuara nama dedi mulyadi terbit bak cahaya tak sekadar hadir di mimbar kata ia berjalan bersama rakyat jelata langkahnya tegap di tanah perjuangan menyatu dengan peluh dan harapan tak hanya bicara soal kekuasaan tapi bagaimana nurani jadi pedoman bukan emas bukan tahta yang ia kejar melainkan senyum di wajah rakyat yang sabar ia datang bukan sebagai raja tapi sahabat pelindung dan teladan bangsa hutan sawah dan kampung yang sunyi disapanya dengan kasih tak pernah letih ia dengar jerit mereka yang tersembunyi dan jawab dengan kerja bukan janji dedi mulyadi nama yang tumbuh di hati menjadi simbol harapan yang tak mati dalam doadoa rakyat yang sederhana namamu terselip seperti cahaya surga,quotdedi mulyadi pemimpin yang dinantiquot di tengah riuh negeri yang bersuara nama dedi mulyadi terbit bak cahaya tidak sekadar hadir di mimbar kata ia berjalan bersama rakyat jelata langkahnya tegap di tanah perjuangan menyatu dengan peluh dan harapan tidak hanya bicara soal kekuasaan tapi bagaimana nurani jadi pedoman bukan emas bukan tahta yang ia kejar melainkan senyum di wajah rakyat yang sabar ia datang bukan sebagai raja tapi sahabat pelindung dan teladan bangsa hutan sawah dan kampung yang sunyi disapanya dengan kasih tidak pernah letih ia dengar jerit mereka yang tersembunyi dan jawab dengan kerja bukan janji dedi mulyadi nama yang tumbuh di hati menjadi simbol harapan yang tidak mati dalam doadoa rakyat yang sederhana namamu terselip seperti cahaya surga,quotdedi mulyadi pemimpin yang dinantiquot di tengah riuh negeri yang bersuara nama dedi mulyadi terbit bak cahaya tidak sekadar hadir di mimbar kata ia berjalan bersama rakyat jelata langkahnya tegap di tanah perjuangan menyatu dengan peluh dan harapan tidak hanya bicara soal kekuasaan tapi bagaimana nurani jadi pedoman bukan emas bukan tahta yang ia kejar melainkan senyum di wajah rakyat yang sabar ia datang bukan sebagai raja tapi sahabat pelindung dan teladan bangsa hutan sawah dan kampung yang sunyi disapanya dengan kasih tidak pernah letih ia dengar jerit mereka yang tersembunyi dan jawab dengan kerja bukan janji dedi mulyadi nama yang tumbuh di hati menjadi simbol harapan yang tidak mati dalam doadoa rakyat yang sederhana namamu terselip seperti cahaya surga,quotdedi pemimpin dinantiquot riuh negeri bersuara nama terbit bak cahaya hadir mimbar berjalan rakyat jelata langkahnya tegap tanah perjuangan menyatu peluh harapan bicara kekuasaan nurani pedoman emas tahta kejar senyum wajah rakyat sabar raja sahabat pelindung teladan hutan sawah kampung sunyi disapanya kasih letih dengar jerit tersembunyi janji nama tumbuh hati simbol harapan mati doadoa rakyat sederhana namamu terselip cahaya surga,quotdedi pimpin dinantiquot riuh negeri suara nama terbit bak cahaya hadir mimbar jalan rakyat jelata langkah tegap tanah juang satu peluh harap bicara kuasa nurani pedoman emas tahta kejar senyum wajah rakyat sabar raja sahabat lindung teladan hutan sawah kampung sunyi sapa kasih letih dengar jerit sembunyi janji nama tumbuh hati simbol harap mati doadoa rakyat sederhana nama selip cahaya surga,quotdedi dinantiquot riuh negeri suara terbit bak cahaya hadir mimbar jelata langkah tegap tanah juang peluh harap kuasa nurani pedoman emas tahta kejar senyum wajah sabar raja sahabat teladan hutan sawah kampung sunyi sapa kasih letih dengar jerit sembunyi janji tumbuh hati simbol harap mati doadoa sederhana selip cahaya surga,"['quotdedi', 'dinantiquot', 'riuh', 'negeri', 'suara', 'terbit', 'bak', 'cahaya', 'hadir', 'mimbar', 'jelata', 'langkah', 'tegap', 'tanah', 'juang', 'peluh', 'harap', 'kuasa', 'nurani', 'pedoman', 'emas', 'tahta', 'kejar', 'senyum', 'wajah', 'sabar', 'raja', 'sahabat', 'teladan', 'hutan', 'sawah', 'kampung', 'sunyi', 'sapa', 'kasih', 'letih', 'dengar', 'jerit', 'sembunyi', 'janji', 'tumbuh', 'hati', 'simbol', 'harap', 'mati', 'doadoa', 'sederhana', 'selip', 'cahaya', 'surga']"
2025-05-06 07:43:36,"mantap saya dari sumatra mendukung dedi mulyadi, program yang baik bersama TNI",1,mantap saya dari sumatra mendukung dedi mulyadi program yang baik bersama tni,mantap saya dari sumatera mendukung dedi mulyadi program yang baik bersama tentara nasional indonesia,mantap saya dari sumatera mendukung dedi mulyadi program yang baik bersama tentara nasional indonesia,mantap sumatera mendukung tentara nasional,mantap sumatera dukung tentara nasional,mantap sumatera,"['mantap', 'sumatera']"
2025-05-06 00:43:43,Kebanyakan teori boss,3,kebanyakan teori boss,kebanyakan teori boss,kebanyakan teori boss,kebanyakan teori,banyak teori,,[]
2025-05-06 00:42:57,DPR dan kementrian terlalu banyak kajian tp tidak ada hasil....kaji saja masalah gmn biar pejabat tidak korupsi,2,dpr dan kementrian terlalu banyak kajian tp tidak ada hasilkaji saja masalah gmn biar pejabat tidak korupsi,dewan perwakilan rakyat dan kementrian terlalu banyak kajian tapi tidak ada hasil saja masalah bagamana biar pejabat tidak korupsi,dewan perwakilan rakyat dan kementrian terlalu banyak kajian tapi tidak ada hasil saja masalah bagamana biar pejabat tidak korupsi,dewan perwakilan rakyat kementrian kajian hasil bagamana pejabat korupsi,dewan wakil rakyat tri kaji hasil bagamana jabat korupsi,tri kaji bagamana korupsi,"['tri', 'kaji', 'bagamana', 'korupsi']"
2025-05-06 00:42:55,Lah kan jamannya beda bos. Skrg langkahnya apa Utk menanggulanginya,2,lah kan jamannya beda bos skrg langkahnya apa utk menanggulanginya,lah akan jamannya beda bos sekarang langkahnya apa untuk menanggulanginya,lah akan jamannya beda bos sekarang langkahnya apa untuk menanggulanginya,jamannya beda bos langkahnya menanggulanginya,jaman beda bos langkah tanggulang,bos langkah tanggulang,"['bos', 'langkah', 'tanggulang']"
2025-05-06 00:21:32,Mntrinya takut ngomong takut dihujat ya.. Hhhh selama ini kan diem diem bae gada perubahan appun,2,mntrinya takut ngomong takut dihujat ya hhhh selama ini kan diem diem bae gada perubahan appun,mntrinya takut bicara takut dihujat iya hhhh selama ini akan diam diam aja tidak ada perubahan appun,mntrinya takut bicara takut dihujat iya hhhh selama ini akan diam diam aja tidak ada perubahan appun,mntrinya takut bicara takut dihujat hhhh diam diam perubahan appun,mntrinya takut bicara takut hujat hhhh diam diam ubah appun,mntrinya takut takut hujat hhhh appun,"['mntrinya', 'takut', 'takut', 'hujat', 'hhhh', 'appun']"
2025-05-05 23:47:50,Saya mau masukin anak saya tapi caranya seperti gmna?,1,saya mau masukin anak saya tapi caranya seperti gmna,saya mau masukkan anak saya tapi caranya seperti gmna,saya mau masukkan anak saya tapi caranya seperti gmna,masukkan gmna,masuk gmna,gmna,['gmna']
2025-05-05 22:59:25,Di Lampung blum ada kebijakan seperti yang di lakukan pak dedi mulyadi. Aku punya anak SMP sudah durhaka sama mamanya nakal nya minta ampun pak. Sampe akhirnya anak aku di berhentikan sekolah aku sangat mendukung atas kebijakan pak gubernur dedi mulyadi is the best pokonya pak gubernur dedi mulyadi sehat dan sukses selalu 👍❤️❤️❤️,1,di lampung blum ada kebijakan seperti yang di lakukan pak dedi mulyadi aku punya anak smp sudah durhaka sama mamanya nakal nya minta ampun pak sampe akhirnya anak aku di berhentikan sekolah aku sangat mendukung atas kebijakan pak gubernur dedi mulyadi is the best pokonya pak gubernur dedi mulyadi sehat dan sukses selalu,di lampung belum ada kebijakan seperti yang di lakukan pak dedi mulyadi aku punya anak smp sudah durhaka sama mamanya nakal nya minta ampun pak sampai akhirnya anak aku di berhentikan sekolah aku sangat mendukung atas kebijakan pak gubernur dedi mulyadi adalah the best pokonya pak gubernur dedi mulyadi sehat dan sukses selalu,di lampung belum ada kebijakan seperti yang di lakukan pak dedi mulyadi aku punya anak smp sudah durhaka sama mamanya nakal nya minta ampun pak sampai akhirnya anak aku di berhentikan sekolah aku sangat mendukung atas kebijakan pak gubernur dedi mulyadi adalah the best pokonya pak gubernur dedi mulyadi sehat dan sukses selalu,lampung kebijakan lakukan smp durhaka mamanya ampun berhentikan sekolah mendukung kebijakan the best pokonya sehat sukses,lampung bijak laku smp durhaka mama ampun henti sekolah dukung bijak the best poko sehat sukses,lampung bijak laku durhaka mama ampun bijak the best poko sukses,"['lampung', 'bijak', 'laku', 'durhaka', 'mama', 'ampun', 'bijak', 'the', 'best', 'poko', 'sukses']"
2025-05-05 12:11:02,Cirebon pak banyak tawuran,1,cirebon pak banyak tawuran,cirebon pak banyak berantem,cirebon pak banyak berantem,cirebon berantem,cirebon antem,cirebon,['cirebon']
2025-05-05 12:08:48,Yang cewe gimana,2,yang cewe gimana,yang cewek bagaimana,yang cewek bagaimana,cewek,cewek,cewek,['cewek']
